start_id,solver,objective,status,iterations,runtime_sec,message,origin,sample
2,NLOPT_LN_COBYLA,20335.422215595143,5,1500,602.3930621147156,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,lhs,1
17,NLOPT_LN_COBYLA,29362.842662558898,5,1500,1765.8670890331268,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,lhs,1
3,NLOPT_LN_COBYLA,50816.84504067347,4,687,874.6672008037567,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,lhs,1
21,NLOPT_LN_SBPLX,172783.21018905475,5,1500,2781.3802790641785,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,lhs,1
16,NLOPT_LN_COBYLA,293075.1650467772,4,489,395.78220200538635,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,lhs,1
12,NLOPT_LN_COBYLA,485155.26381114183,4,1047,1596.1498172283173,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,lhs,1
5,NLOPT_LN_COBYLA,1363165.4035199892,4,569,581.558739900589,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,lhs,1
5,NLOPT_LN_NELDERMEAD,3290105.367733938,4,393,813.3834969997406,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,lhs,1
14,NLOPT_LN_COBYLA,3504163.6389564034,4,305,303.4183740615845,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,lhs,1
15,NLOPT_LN_COBYLA,5012731.111881224,5,1500,617.8009419441223,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,lhs,1
11,NLOPT_LN_COBYLA,6836146.707187008,5,1500,1550.5194041728973,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,lhs,1
11,NLOPT_LN_NELDERMEAD,10675988.029869143,4,535,644.8011620044708,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,lhs,1
19,NLOPT_LN_COBYLA,26087985.87353788,5,1500,2143.075783967972,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,lhs,1
6,NLOPT_LN_COBYLA,35840619.87553245,5,1500,1823.1810410022736,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,lhs,1
13,NLOPT_LN_COBYLA,85500418.55148049,4,1220,1207.2877671718597,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,lhs,1
12,NLOPT_LN_NELDERMEAD,386591221.4578128,4,424,709.8096849918365,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,lhs,1
21,NLOPT_LN_NELDERMEAD,425281894.55145943,4,534,982.2886459827423,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,lhs,1
18,NLOPT_LN_COBYLA,574388097.319257,4,455,489.06998682022095,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,lhs,1
18,NLOPT_LN_NELDERMEAD,597910335.9379324,4,253,485.4513349533081,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,lhs,1
19,NLOPT_LN_NELDERMEAD,2310766227.2386265,4,559,1040.9302308559418,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,lhs,1
9,NLOPT_LN_COBYLA,8943428581.631475,4,288,272.41808891296387,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,lhs,1
20,NLOPT_LN_COBYLA,76255546890.64182,4,559,353.7027220726013,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,lhs,1
21,NLOPT_LN_COBYLA,1072293956226.0188,4,304,564.2175340652466,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,lhs,1
7,NLOPT_LN_COBYLA,8172452220127.783,5,1500,1311.6107189655304,NLOPT_MAXEVAL_REACHED: Optimization stopped because maxeval (above) was reached.,lhs,1
4,NLOPT_LN_COBYLA,Inf,NA,NA,5.9184510707855225,"Error in is.nloptr(ret) : objective in x0 returns NA
",lhs,1
4,NLOPT_LN_SBPLX,Inf,NA,NA,6.107885837554932,"Error in is.nloptr(ret) : objective in x0 returns NA
",lhs,1
4,NLOPT_LN_NELDERMEAD,Inf,NA,NA,4.26012110710144,"Error in is.nloptr(ret) : objective in x0 returns NA
",lhs,1
